model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
unet_s1_resnet18_d4_b64_lr1,0.38590845465660095,0.3764680027961731,0.8831274509429932,0.8879355192184448,0.7907146215438843,0.7984568476676941,0.9012085199356079,0.9007649421691895,0.9683054685592651,0.9685007929801941,72
unet_s3_resnet34_d4_b64_lr0,0.36892229318618774,0.3558642268180847,0.8886488080024719,0.8943100571632385,0.7996111512184143,0.8088253140449524,0.9063274264335632,0.9065935015678406,0.97129887342453,0.9719140529632568,97
unet_s9_resnet18_d4_b64_lr1,0.3800702393054962,0.3744288682937622,0.8839706778526306,0.8878815770149231,0.7920676469802856,0.7983696460723877,0.901401698589325,0.9005488753318787,0.968589186668396,0.9687027931213379,69
unet_s11_resnet34_d4_b64_lr0,0.3694952130317688,0.3584902286529541,0.8880256414413452,0.8931161761283875,0.7986026406288147,0.8068743348121643,0.9053357839584351,0.9053707122802734,0.9707118272781372,0.9713200330734253,68
unet_s13_resnet50_d3_b16_lr2,0.3759768605232239,0.36811867356300354,0.8851380944252014,0.8891015648841858,0.7939441800117493,0.8003446459770203,0.9024699926376343,0.90165114402771,0.9693852663040161,0.9697349071502686,56
unet_s16_resnet50_d3_b16_lr0,0.3749696910381317,0.35721057653427124,0.8871706128120422,0.8947202563285828,0.7972206473350525,0.8094966411590576,0.9058363437652588,0.907247006893158,0.9718872904777527,0.9727281928062439,27
unet_s18_resnet50_d3_b8_lr0,0.3576120436191559,0.3463476598262787,0.89124596118927,0.8966587781906128,0.8038265109062195,0.8126758337020874,0.9080337285995483,0.9084793329238892,0.9723867774009705,0.9732550978660583,14
unet_s21_resnet50_d3_b8_lr0,0.35573703050613403,0.34446075558662415,0.892011821269989,0.897233784198761,0.8050733804702759,0.8136211037635803,0.9087421894073486,0.9090046286582947,0.9727574586868286,0.9734386801719666,17
unet_s23_resnet50_d3_b8_lr2,0.37849104404449463,0.36787375807762146,0.8853565454483032,0.8900049924850464,0.7942957282066345,0.8018099069595337,0.9031593799591064,0.902603268623352,0.9695615768432617,0.969891369342804,33
unet_s26_resnet50_d3_b8_lr0,0.35318443179130554,0.3451530337333679,0.8922920227050781,0.896818995475769,0.8055300712585449,0.8129391074180603,0.9087056517601013,0.9084936380386353,0.972884476184845,0.9736003279685974,19
unet_s29_resnet50_d3_b8_lr0,0.35903656482696533,0.34460920095443726,0.8915246725082397,0.8978252410888672,0.804280161857605,0.8145943284034729,0.9089046716690063,0.909780740737915,0.9728174209594727,0.9737281799316406,17
unet_s31_resnet50_d3_b8_lr1,0.36232662200927734,0.3523828685283661,0.8899273872375488,0.8946645259857178,0.8016839027404785,0.8094053864479065,0.9069221019744873,0.9067251682281494,0.9717501401901245,0.9722586870193481,15
unet_s33_resnet50_d3_b32_lr1,0.36942559480667114,0.3615771532058716,0.8875732421875,0.8919382095336914,0.7978711128234863,0.8049535155296326,0.9048506021499634,0.9042770266532898,0.9706052541732788,0.9708200097084045,33
unet_s36_resnet18_d3_b8_lr0,0.3571479320526123,0.3449999690055847,0.891599178314209,0.8969573974609375,0.8044014573097229,0.8131665587425232,0.9085140824317932,0.9088149070739746,0.9726190567016602,0.9734014272689819,23
unet_s39_resnet50_d3_b8_lr0,0.3578621447086334,0.3460402488708496,0.8913456201553345,0.8969057202339172,0.8039887547492981,0.813081681728363,0.908367395401001,0.9088051319122314,0.9725382328033447,0.973271906375885,18
unet_s41_resnet34_d3_b8_lr0,0.3567347228527069,0.34759557247161865,0.8911018371582031,0.8960860967636108,0.8035921454429626,0.8117355108261108,0.907660722732544,0.9078688621520996,0.9723128080368042,0.9729911088943481,19
unet_s44_resnet50_d3_b8_lr0,0.3589487373828888,0.34762322902679443,0.8910267353057861,0.89658522605896,0.8034700155258179,0.8125550746917725,0.908119261264801,0.9085143804550171,0.97243732213974,0.9732005000114441,18
unet_s46_resnet50_d3_b8_lr0,0.3566141128540039,0.3442784547805786,0.8916572332382202,0.8969851136207581,0.8044959306716919,0.8132121562957764,0.9084142446517944,0.9087584018707275,0.9725621342658997,0.9734694361686707,17
unet_s48_resnet50_d4_b64_lr1,0.3938630223274231,0.39085161685943604,0.8789575695991516,0.8817450404167175,0.7840537428855896,0.7885009050369263,0.8965409994125366,0.8949825167655945,0.9661044478416443,0.9662078619003296,64
unet_s51_resnet18_d3_b8_lr0,0.36282551288604736,0.3473169803619385,0.8906107544898987,0.8969864249229431,0.8027936816215515,0.8132142424583435,0.9083053469657898,0.9091131687164307,0.9725958704948425,0.9734066724777222,21
unet_s53_resnet34_d3_b8_lr2,0.3684743046760559,0.36050868034362793,0.8874925374984741,0.8914495706558228,0.7977408170700073,0.8041579127311707,0.9043571352958679,0.9036844968795776,0.9705504775047302,0.9710068106651306,45
unet_s56_resnet50_d3_b8_lr0,0.3595470190048218,0.34915977716445923,0.8905622959136963,0.8954904079437256,0.8027149438858032,0.8107583522796631,0.907521665096283,0.9074575901031494,0.9722127914428711,0.9727418422698975,17
unet_s58_resnet50_d3_b16_lr0,0.35946038365364075,0.3473079800605774,0.891014575958252,0.8964996933937073,0.8034501671791077,0.8124145865440369,0.9081228375434875,0.9084508419036865,0.9723699688911438,0.9731184244155884,23
unet_s61_resnet50_d4_b32_lr0,0.37485969066619873,0.3624105155467987,0.8867316246032715,0.892591118812561,0.7965120077133179,0.8060176372528076,0.9045977592468262,0.9050354957580566,0.9703892469406128,0.9709513783454895,36
unet_s63_resnet50_d3_b8_lr2,0.3773229122161865,0.3674766421318054,0.8854116797447205,0.8900771737098694,0.7943844795227051,0.8019271492958069,0.9029622673988342,0.9025912284851074,0.9694458842277527,0.9698778986930847,31
unet_s66_resnet50_d3_b8_lr0,0.3695843517780304,0.35184913873672485,0.8890780806541443,0.8961807489395142,0.8003065586090088,0.8118909001350403,0.9074051380157471,0.9085671305656433,0.9727242588996887,0.9733532667160034,17
unet_s68_resnet50_d3_b8_lr0,0.36018645763397217,0.3476128578186035,0.8909450769424438,0.896289587020874,0.8033372163772583,0.8120695352554321,0.9081730842590332,0.9083243012428284,0.9724112749099731,0.9730845093727112,22
unet_s71_resnet50_d3_b8_lr0,0.3524929881095886,0.3421597480773926,0.8925039172172546,0.8977268934249878,0.8058754205703735,0.8144323229789734,0.909018874168396,0.9093785285949707,0.9730291366577148,0.973854660987854,23
unet_s74_resnet50_d3_b8_lr0,0.3619315028190613,0.34909892082214355,0.8902451992034912,0.895948588848114,0.8021999001502991,0.811509907245636,0.9077178239822388,0.9080475568771362,0.9722608923912048,0.9729864597320557,23
unet_s76_resnet50_d3_b8_lr0,0.3573794960975647,0.34650856256484985,0.8910237550735474,0.8963589668273926,0.8034651279449463,0.8121834993362427,0.9079699516296387,0.9082697629928589,0.9724438786506653,0.9732122421264648,22
unet_s79_resnet50_d3_b16_lr1,0.36470067501068115,0.35742756724357605,0.8885907530784607,0.8923608660697937,0.7995170950889587,0.8056422472000122,0.9052863717079163,0.9044612646102905,0.9710685014724731,0.9715206623077393,26
unet_s82_resnet34_d3_b64_lr2,0.3858199119567871,0.3820420503616333,0.8818379640579224,0.8849421739578247,0.7886495590209961,0.793628990650177,0.899315595626831,0.8978800773620605,0.9677879810333252,0.967729926109314,186
unet_s85_resnet50_d3_b8_lr0,0.35639432072639465,0.34423404932022095,0.8917232155799866,0.89734947681427,0.8046033978462219,0.8138113021850586,0.908589780330658,0.9091441631317139,0.9726362228393555,0.9735051393508911,20
unet_s88_resnet50_d3_b8_lr0,0.3641974627971649,0.3499293327331543,0.8900076746940613,0.8964561223983765,0.8018142580986023,0.8123430013656616,0.9077161550521851,0.9086204767227173,0.9722002744674683,0.9730485677719116,16
unet_s90_resnet50_d4_b8_lr0,0.36205384135246277,0.34517520666122437,0.89137864112854,0.8980804681777954,0.8040424585342407,0.8150145411491394,0.9089186191558838,0.9101057052612305,0.9728939533233643,0.9738159775733948,30
unet_s92_resnet50_d4_b8_lr0,0.35819822549819946,0.3447299599647522,0.891408383846283,0.8975134491920471,0.8040908575057983,0.8140811324119568,0.9084669947624207,0.9093560576438904,0.9725306034088135,0.9734725952148438,27
unet_s95_resnet50_d4_b8_lr0,0.3600003123283386,0.34680914878845215,0.8910718560218811,0.8970406651496887,0.8035433888435364,0.8133034706115723,0.908309280872345,0.9090032577514648,0.9725377559661865,0.973229169845581,33
unet_s98_resnet50_d4_b32_lr0,0.36686789989471436,0.3533198833465576,0.8889281153678894,0.8945544958114624,0.8000635504722595,0.80922532081604,0.9063481092453003,0.9067226648330688,0.9712735414505005,0.972152590751648,53
unet_s100_resnet18_d4_b8_lr0,0.3552974462509155,0.3421536684036255,0.8925431966781616,0.8978745937347412,0.8059394955635071,0.8146755695343018,0.9092989563941956,0.9096131324768066,0.9728775024414062,0.9738059043884277,27
unet_s103_resnet18_d4_b8_lr0,0.35156068205833435,0.3404064178466797,0.8931475281715393,0.8982977271080017,0.8069255352020264,0.8153725266456604,0.9094947576522827,0.9098628759384155,0.9732372760772705,0.9740700721740723,34
unet_s105_resnet18_d4_b8_lr0,0.35847872495651245,0.34459930658340454,0.8915625810623169,0.8972979784011841,0.8043417930603027,0.8137266039848328,0.9085172414779663,0.9091022610664368,0.9724881052970886,0.9734364748001099,35
unet_s108_resnet18_d4_b8_lr0,0.3590144217014313,0.3437318205833435,0.891798734664917,0.8982669711112976,0.8047263026237488,0.8153218030929565,0.9091123342514038,0.9101696610450745,0.9728856086730957,0.9737794995307922,37
unet_s110_resnet18_d4_b8_lr0,0.3647215962409973,0.3481763005256653,0.8900681734085083,0.8967351913452148,0.8019124865531921,0.8128013610839844,0.9077134728431702,0.908848762512207,0.9721590280532837,0.9731983542442322,26
unet_s113_resnet18_d4_b8_lr1,0.37030816078186035,0.36248889565467834,0.8876009583473206,0.8916101455688477,0.7979159951210022,0.8044192790985107,0.9048365354537964,0.9039548635482788,0.9704336524009705,0.9706388115882874,19
unet_s115_resnet18_d4_b8_lr0,0.356131374835968,0.3431519865989685,0.8923237919807434,0.8979419469833374,0.8055817484855652,0.8147863745689392,0.9090373516082764,0.9096574187278748,0.9728003740310669,0.9736788868904114,33
unet_s118_resnet18_d4_b8_lr0,0.354719340801239,0.340992271900177,0.8926540017127991,0.8983457684516907,0.8061202168464661,0.8154516816139221,0.9094967842102051,0.9100805521011353,0.9730494618415833,0.9740040898323059,42
unet_s120_resnet18_d4_b8_lr0,0.360839307308197,0.344647616147995,0.8914961814880371,0.8977924585342407,0.8042337894439697,0.8145403265953064,0.9088927507400513,0.9097675085067749,0.9728941917419434,0.973762035369873,39
unet_s123_resnet18_d4_b16_lr2,0.4043562114238739,0.39829766750335693,0.8774363398551941,0.8816468715667725,0.781636118888855,0.7883439660072327,0.8957871198654175,0.8950154185295105,0.9649901390075684,0.9651041030883789,65
unet_s125_resnet18_d4_b8_lr0,0.3643563985824585,0.34868019819259644,0.8903061151504517,0.8966993689537048,0.8022988438606262,0.8127425909042358,0.9081567525863647,0.9089019298553467,0.9726276397705078,0.9734195470809937,28
unet_s127_resnet18_d4_b8_lr0,0.361846923828125,0.34488993883132935,0.8910131454467773,0.8976932764053345,0.8034479022026062,0.8143770694732666,0.9086050987243652,0.9097365140914917,0.9727503061294556,0.9737706184387207,33
