model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
manet_s0_resnet18_d4_b64_lr1,0.3863867521286011,0.377328097820282,0.8828601837158203,0.887137770652771,0.7902861833572388,0.7971676588058472,0.9007657766342163,0.8999675512313843,0.9678409695625305,0.9682245850563049,87
manet_s1_resnet34_d4_b64_lr0,0.3618348240852356,0.35069799423217773,0.890302836894989,0.8956542015075684,0.8022935390472412,0.811026930809021,0.9072360992431641,0.9076073169708252,0.9717801809310913,0.9724847078323364,92
manet_s2_resnet34_d4_b32_lr2,0.4604458212852478,0.4612728953361511,0.8582239151000977,0.8605610132217407,0.7516569495201111,0.7552497982978821,0.8788567185401917,0.8762166500091553,0.9542759656906128,0.9530319571495056,64
manet_s3_resnet18_d4_b16_lr0,0.3607034683227539,0.34779468178749084,0.8909406065940857,0.8963461518287659,0.8033299446105957,0.8121623396873474,0.9080618619918823,0.9083307981491089,0.9722107648849487,0.9730101227760315,47
manet_s4_resnet50_d4_b64_lr1,0.3838716745376587,0.37793177366256714,0.8826158046722412,0.8860158920288086,0.7898946404457092,0.7953577637672424,0.9000623226165771,0.8988498449325562,0.9678916335105896,0.9681193828582764,70
manet_s5_resnet18_d3_b64_lr1,0.37686511874198914,0.368253231048584,0.8853252530097961,0.8899174332618713,0.7942453622817993,0.8016677498817444,0.9028348922729492,0.902437686920166,0.9693965911865234,0.9697471857070923,48
manet_s7_resnet18_d3_b64_lr2,0.3954433798789978,0.39182332158088684,0.8786783814430237,0.882072925567627,0.7836096286773682,0.7890254855155945,0.8966591358184814,0.8953520655632019,0.966065526008606,0.9658672213554382,142
manet_s10_resnet50_d3_b8_lr0,0.3501153588294983,0.3352782130241394,0.8941056132316589,0.9000919461250305,0.8084909915924072,0.8183338642120361,0.9106020927429199,0.9116030931472778,0.9738572239875793,0.9748967289924622,56
manet_s12_resnet50_d3_b16_lr0,0.3591887652873993,0.3406483232975006,0.8922436237335205,0.8992199301719666,0.8054511547088623,0.8168933391571045,0.9096271991729736,0.9110757112503052,0.9732985496520996,0.9743970036506653,42
manet_s13_resnet50_d3_b8_lr0,0.34940510988235474,0.335183709859848,0.8942334055900574,0.8997784852981567,0.8086999654769897,0.8178157210350037,0.9109222292900085,0.911388635635376,0.9740124344825745,0.974934458732605,45
manet_s15_resnet50_d3_b8_lr0,0.3458116948604584,0.3340103030204773,0.8947449326515198,0.9000200629234314,0.8095369935035706,0.818215012550354,0.9108660817146301,0.9113845825195312,0.9740430116653442,0.9750303030014038,43
manet_s17_resnet50_d3_b8_lr0,0.3468559980392456,0.3333950936794281,0.8946057558059692,0.9006050229072571,0.809309184551239,0.8191823959350586,0.9110540747642517,0.9120517373085022,0.9741121530532837,0.9751425981521606,43
manet_s18_resnet50_d3_b8_lr0,0.3501709997653961,0.3344019055366516,0.8941153883934021,0.9005085229873657,0.8085069060325623,0.8190227150917053,0.9110060930252075,0.9121105670928955,0.9740943312644958,0.9751051664352417,63
manet_s20_resnet50_d3_b8_lr2,0.39951062202453613,0.39527830481529236,0.8775537014007568,0.8806774020195007,0.7818224430084229,0.7867949604988098,0.8957720994949341,0.8941205739974976,0.9653775691986084,0.9651273488998413,21
